i0r0c0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
i0r0c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
i0r0c2	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
i0r0c3	1.0	1.0	4.0	1.0	0.0	0.0	0.0	2.0
i0r0c4	0.0	2.0	1.0	1.0	1.0	3.0	1.0	0.0
i0r0c5	0.0	1.0	0.0	1.0	3.0	1.0	1.0	2.0
i0r1c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
i0r1c1	3.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0
i0r1c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
i0r1c3	1.0	1.0	2.0	1.0	0.0	2.0	1.0	1.0
i0r1c4	2.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0
i0r1c5	3.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
i0r2c0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
i0r2c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
i0r2c2	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
i0r2c3	0.0	2.0	1.0	0.0	1.0	2.0	3.0	0.0
i0r2c4	1.0	0.0	0.0	1.0	2.0	3.0	0.0	2.0
i0r2c5	0.0	1.0	0.0	2.0	0.0	4.0	1.0	1.0
i0r3c0	1.0	0.0	0.0	2.0	0.0	3.0	1.0	2.0
i0r3c1	2.0	0.0	3.0	1.0	0.0	1.0	1.0	1.0
i0r3c2	3.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0
i0r3c3	0.0	4.0	1.0	1.0	1.0	1.0	1.0	0.0
i0r3c4	1.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0
i0r3c5	1.0	1.0	1.0	1.0	3.0	1.0	0.0	1.0
i0r4c0	1.0	1.0	0.0	2.0	2.0	3.0	0.0	0.0
i0r4c1	1.0	1.0	2.0	1.0	1.0	1.0	0.0	2.0
i0r4c2	0.0	0.0	1.0	1.0	2.0	2.0	2.0	1.0
i0r4c3	1.0	1.0	1.0	1.0	1.0	0.0	2.0	2.0
i0r4c4	3.0	1.0	2.0	0.0	2.0	1.0	0.0	0.0
i0r4c5	0.0	2.0	2.0	0.0	1.0	1.0	2.0	1.0
i0r5c0	1.0	2.0	1.0	3.0	0.0	1.0	0.0	1.0
i0r5c1	1.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0
i0r5c2	0.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0
i0r5c3	1.0	1.0	0.0	1.0	1.0	2.0	1.0	2.0
i0r5c4	0.0	2.0	1.0	0.0	1.0	0.0	2.0	3.0
i0r5c5	0.0	0.0	4.0	0.0	2.0	1.0	2.0	0.0
